date,price,shares,investment,position,portfolio_value,type
2022-03-01 05:00:00+00:00,12.18,82,998.76,82,998.76,buy
2022-03-08 05:00:00+00:00,11.04,135,1490.3999999999999,217,2395.68,buy
2022-03-16 04:00:00+00:00,11.79,37,436.22999999999996,254,2994.66,buy
2022-03-30 04:00:00+00:00,13.88,34,471.92,288,3997.44,buy
2022-04-06 04:00:00+00:00,13.0,81,1053.0,369,4797.0,buy
2022-04-13 04:00:00+00:00,12.9,173,2231.7000000000003,542,6991.8,buy
2022-04-20 04:00:00+00:00,12.79,83,1061.57,625,7993.749999999999,buy
2022-04-27 04:00:00+00:00,10.56,397,4192.320000000001,1022,10792.32,buy
2022-05-04 04:00:00+00:00,10.98,70,768.6,1092,11990.16,buy
2022-05-11 04:00:00+00:00,6.71,875,5871.25,1967,13198.57,buy
2022-06-01 04:00:00+00:00,8.46,18,152.28000000000003,1985,16793.100000000002,buy
2022-08-10 04:00:00+00:00,9.59,17,163.03,2002,19199.18,buy
2022-08-17 04:00:00+00:00,9.43,1179,11117.97,3181,29996.829999999998,buy
2022-08-24 04:00:00+00:00,8.1,670,5427.0,3851,31193.1,buy
2022-08-31 04:00:00+00:00,7.72,345,2663.4,4196,32393.12,buy
2022-09-07 04:00:00+00:00,7.39,350,2586.5,4546,33594.939999999995,buy
2022-09-14 04:00:00+00:00,7.63,14,106.82,4560,34792.8,buy
2022-09-21 04:00:00+00:00,7.69,121,930.49,4681,35996.89,buy
2022-11-09 05:00:00+00:00,6.98,1680,11726.400000000001,6361,44399.780000000006,buy
2022-11-30 05:00:00+00:00,7.5,39,292.5,6400,48000.0,buy
2022-12-14 05:00:00+00:00,7.35,457,3358.95,6857,50398.95,buy
2022-12-21 05:00:00+00:00,6.5,1081,7026.5,7938,51597.0,buy
2022-12-28 05:00:00+00:00,6.07,760,4613.2,8698,52796.86,buy
2023-05-04 04:00:00+00:00,7.38,1383,10206.539999999999,10081,74397.78,buy
